emoji,anger,fear,joy,sadness,native,unicode,bytes-UTF-8,description
1f473,0.212,0.293,0.302,0.239,👳,1F473,\xF0\x9F\x91\xB3,man with turban
1f52e,0.169,0.22,0.354,0.196,🔮,1F52E,\xF0\x9F\x94\xAE,crystal ball
1f391,0.149,0.143,0.437,0.231,🎑,1F391,\xF0\x9F\x8E\x91,moon viewing ceremony
1f420,0.063,0.271,0.14,0.122,🐠,1F420,\xF0\x9F\x90\xA0,tropical fish
1f43e,0.266,0.249,0.129,0.155,🐾,1F43E,\xF0\x9F\x90\xBE,paw prints
1f45f,0.232,0.094,0.089,0.185,👟,1F45F,\xF0\x9F\x91\x9F,athletic shoe
1f625,0.3,0.474,0.145,0.391,😥,1F625,\xF0\x9F\x98\xA5,disappointed but relieved face
1f384,0.137,0.17,0.285,0.081,🎄,1F384,\xF0\x9F\x8E\x84,christmas tree
1f414,0.169,0.192,0.218,0.127,🐔,1F414,\xF0\x9F\x90\x94,chicken
1f496,0.217,0.068,0.422,0.163,💖,1F496,\xF0\x9F\x92\x96,sparkling heart
1f498,0.22,0.074,0.373,0.101,💘,1F498,\xF0\x9F\x92\x98,heart with arrow
1f635,0.347,0.458,0.123,0.361,😵,1F635,\xF0\x9F\x98\xB5,dizzy face
1f463,0.21,0.21,0.163,0.179,👣,1F463,\xF0\x9F\x91\xA3,footprints
1f4ee,0.269,0.171,0.219,0.175,📮,1F4EE,\xF0\x9F\x93\xAE,postbox
1f550,0.144,0.341,0.209,0.198,🕐,1F550,\xF0\x9F\x95\x90,clock face one oclock
1f63d,0.189,0.119,0.215,0.21,😽,1F63D,\xF0\x9F\x98\xBD,kissing cat face with closed eyes
1f447,0.393,0.196,0.317,0.286,👇,1F447,\xF0\x9F\x91\x87,white down pointing backhand index
26f5,0.104,0.225,0.142,0.205,⛵,26F5,\xE2\x9B\xB5,sailboat
1f434,0.254,0.164,0.078,0.159,🐴,1F434,\xF0\x9F\x90\xB4,horse face
21aa,0.138,0.275,0.228,0.229,↪,21AA,\xE2\x86\xAA,rightwards arrow with hook
1f334,0.035,0.343,0.129,0.238,🌴,1F334,\xF0\x9F\x8C\xB4,palm tree
1f41d,0.381,0.285,0.128,0.111,🐝,1F41D,\xF0\x9F\x90\x9D,honeybee
1f430,0.165,0.222,0.217,0.037,🐰,1F430,\xF0\x9F\x90\xB0,rabbit face
1f614,0.261,0.404,0.145,0.313,😔,1F614,\xF0\x9F\x98\x94,pensive face
2693,0.22,0.179,0.245,0.243,⚓,2693,\xE2\x9A\x93,anchor
1f368,0.228,0.189,0.232,0.114,🍨,1F368,\xF0\x9F\x8D\xA8,ice cream
1f371,0.136,0.16,0.159,0.212,🍱,1F371,\xF0\x9F\x8D\xB1,bento box
1f45a,0.208,0.154,0.179,0.242,👚,1F45A,\xF0\x9F\x91\x9A,womans clothes
1f47a,0.42,0.35,0.149,0.301,👺,1F47A,\xF0\x9F\x91\xBA,japanese goblin
1f487,0.237,0.215,0.266,0.153,💇,1F487,\xF0\x9F\x92\x87,haircut
264b,0.209,0.219,0.201,0.255,♋,264B,\xE2\x99\x8B,cancer
1f611,0.415,0.308,0.11,0.319,😑,1F611,\xF0\x9F\x98\x91,expressionless face
